giniIndex,percentHsEdu,percentBachelorsEdu,medianHouseholdIncome,ueRate,uninsuredRate,medianAge
0.41620001,91.300003,30.1,57694,4.5715523,3.0999999,45.799999
0.52139997,95.400002,67,52379,7.1772637,3.2,23.6
0.66850001,80.900002,21.299999,,18.022678,2.8,19.9
0.42809999,96.5,30.9,70325,5.2798309,1,45.400002
0.41460001,93.599998,44.700001,86165,4.4566069,1.1,43.799999
0.3493,89.5,28.5,62750,7.8666668,2.5999999,49.900002
0.3414,84.599998,20,59440,9.6916304,12.5,66.199997
0.4122,93.800003,37,86523,7.5890789,0.1,48.099998
0.38389999,90.699997,19.9,75263,5.9031878,6.5,39.900002
0.42250001,94.400002,38.099998,70114,8.9020767,4.9000001,43.200001
0.42919999,80.599998,17.4,39868,8.7412281,3.2,35
0.41280001,87.900002,16.200001,58780,7.2736149,3.7,44.200001
0.3538,94.599998,27.5,43349,11.121764,1.1,37.599998
0.38800001,97.800003,42.5,51442,4.5643153,3.0999999,49.5
0.41350001,95.199997,35.5,63699,6.4579077,3.0999999,44.900002
0.41339999,94.300003,42.700001,85221,4.9509745,1.5,45.900002
0.46709999,91.199997,29.9,50750,9.1764708,8.8999996,47.299999
0.39610001,94,31.4,71716,3.6276295,3.3,45.099998
0.4817,92.400002,28.5,41875,6.1359868,3.5999999,38.599998
0.34240001,97.300003,49.900002,78011,5.2054796,2.4000001,49.799999
0.4021,92.599998,38.400002,89965,4.3809524,3.2,45.799999
0.3488,95,30.5,87045,4.7085204,1.7,46.900002
0.48449999,96.300003,44.700001,58953,1.2012012,5.8000002,47.400002
0.41639999,93.5,35.700001,81304,6.0595322,0,49.400002
0.3229,100,39.099998,92750,6.6225166,4.0999999,46.099998
0.38519999,98.400002,37.5,67096,1.3233602,0.60000002,51.400002
0.4639,95.800003,56.200001,80000,6.9371729,2.8,54.599998
0.4966,79,24.1,37954,10.1762,3.2,35.200001
0.37810001,94.300003,27.700001,68869,1.7490494,1.6,43.700001
0.4373,95.5,46.599998,62222,3.5812671,3.8,53.200001
0.44890001,97.199997,64.900002,87174,3.6496351,0.80000001,50.900002
0.4091,83.699997,23.700001,67715,5.4070964,2.4000001,44.400002
0.3673,91.900002,26.4,78986,6.5541983,2.2,46.299999
0.52240002,95.400002,61.799999,57485,5.4100842,2.3,34.299999
0.46259999,93.699997,53.799999,73438,6.6297355,1.6,45.200001
,100,0,,6.504065,2.4000001,20.5
,100,100,,,0,
0.34200001,94.099998,35.099998,85938,4.7838087,2.8,46.700001
0.41690001,92.599998,29.200001,59211,6.9381299,3.4000001,47.099998
0.39480001,95.400002,45.799999,57000,5.1150894,1.1,50.200001
0.35859999,95.900002,31.5,67132,4.1543026,5.0999999,47.900002
0.39269999,98,65.800003,72000,5.8472552,2.0999999,45.599998
0.44510001,94.400002,37.799999,89423,6.1641836,1.5,46.400002
0.14669999,85,14.6,61603,0,8.1999998,33.700001
0.433,93.5,40.5,66681,6.334434,2.4000001,40.299999
0.43349999,89.599998,35,76737,4.814815,2,46.599998
0.54629999,92.699997,34.700001,27105,0,0,46.299999
0.44769999,90.5,16.700001,49844,11.680912,5.4000001,32.700001
0.42480001,93.599998,18.4,50465,4.5086703,2.7,43.700001
0.39520001,91.699997,21.799999,51768,7.816052,2.5999999,41.799999
0.39140001,93.5,19.700001,65547,4.8387098,5.5,36.900002
0.4461,97.800003,62.5,90625,6.1946902,2.2,53.599998
0.40099999,92.199997,32,62423,6.3533735,2.0999999,39.099998
,,,,0,0,19
0.3355,89.400002,32.299999,51406,7.4418607,2,53.299999
0.45860001,89.300003,31.200001,51735,7.6261396,3,39.200001
0.34740001,90.699997,30.799999,75799,6.8391867,0.1,47
0.4366,94.699997,60.5,103750,0,0,52.599998
0.53109998,87.099998,24.6,21250,0,0,54.599998
0.42660001,94.400002,43.200001,104128,3.8128684,1.8,47.200001
0.39570001,94.199997,40.400002,77083,5.173543,1.3,44.299999
0.2579,61.900002,14.3,,0,0,17.1
0.40849999,94.800003,36.599998,76563,1.3586956,3.5,50.400002
0.55059999,67.400002,21.9,16720,13.256484,2.4000001,33.599998
0.51440001,74.699997,12.7,30053,11.556626,6,36
0.55519998,66.300003,12.1,17569,17.114738,5.6999998,32.299999
0.46990001,96.400002,65.400002,111231,4.6138415,1,46.200001
0.50749999,55,11.6,26772,22.707424,7,28.799999
0.47189999,75.300003,18.299999,38499,10.360052,5,31.700001
0.45550001,77.900002,15.1,35191,10.89077,5.3000002,27.9
0.42179999,90.099998,31.4,61112,5.6779437,1.9,36.799999
0.43149999,84.199997,21.299999,47439,10.101483,2.4000001,34.700001
0.40849999,92.400002,25.200001,65977,6.2807879,3.7,48.299999
0.3881,89.199997,28.4,63895,5.9159317,0.89999998,42.900002
0.41100001,79.5,13.7,40360,10.576698,2.3,32.700001
,,,,,,
0.4657,90.199997,28.799999,47614,7.8071513,2.5999999,44
0.40130001,88.099998,22.6,49777,6.5362382,1.7,45.799999
0.37979999,88.599998,24.799999,74583,2.6694045,3.3,49.200001
0.37920001,93.900002,31.5,77857,6.7528734,2.9000001,51.799999
0.3206,88.199997,5.0999999,38446,24.489796,0,49.799999
0.41209999,93.5,21.1,61512,10.04016,1.5,48.200001
0.4413,95.400002,35.799999,61063,6.4680624,4.8000002,48.900002
0.4192,83.699997,15.1,29000,0,0,67.400002
0.4585,91.199997,41.5,65214,4.2473593,5.5999999,49.900002
0.3858,94,31.9,63000,4.8215404,2.2,49.599998
0.44010001,90.800003,51,57014,6.2593145,9.5,42.200001
0.3601,96,40.299999,84615,8.0665817,2,46.900002
0.4109,90.5,32.599998,67708,3.6424959,3.2,46.5
0.51859999,96,53.799999,68948,4.8169556,0.89999998,57.200001
0.2344,99.699997,55,81172,0,0,33.799999
0.45469999,97.699997,25.200001,71979,0.85470086,2.4000001,57.299999
0.46529999,90.800003,45.900002,55556,0,0,60.799999
0.46880001,96,54,69821,3.0237582,1.2,55.799999
0.46419999,85.199997,24.4,40928,9.4557314,3.5,43.599998
0.3897,93.800003,33.099998,74554,4.5112782,2.3,59.799999
0.52139997,95.199997,51.200001,92083,4.3650794,1.8,58.299999
0.4118,91.400002,37.299999,68636,5.0691242,2.0999999,50.200001
0.41029999,84,18.299999,55375,5.3990612,3.0999999,47.299999
0.48469999,92.5,35.099998,59500,4.2622952,1.8,53.099998
0.4998,96,55.099998,57917,0,0.60000002,61.700001
0.4862,89.599998,48.799999,62727,3.8167939,5.3000002,60.599998
0.3748,69.5,23.4,112756,9.848485,16.299999,32.900002
0.53829998,90.900002,37.5,36042,4.4709387,0,56.900002
0.55290002,100,52,80000,15.887851,0.5,58.400002
0.44850001,96.900002,47.900002,74107,1.9230769,2.9000001,55.5
0.44960001,92.5,61.5,78068,6.1755953,0.89999998,31.9
0.44440001,98.400002,41,80000,3.8054969,3.7,50.099998
0.45640001,92.599998,31.799999,48477,5.1961493,3.2,44.099998
0.41530001,98.300003,48.400002,74167,2.0042193,2.2,49.299999
0.4012,87.699997,18.4,53733,9.4618568,3.5999999,44.700001
0.41929999,95.400002,28.9,66085,4.2273045,2.0999999,50
0.2897,92.5,24.700001,57750,15.929204,0,59.599998
0.42519999,93.199997,32.599998,55313,7.5391183,2.7,50.5
0.42550001,91,27.299999,53125,7.7330508,3.0999999,53.700001
0.42230001,99.099998,61.700001,101023,3.9399624,5,50.900002
0.40000001,95.5,67.900002,106146,0,2.5999999,43.900002
0.22310001,87,13,85781,0,0,59.5
0.3362,95.400002,16.700001,70109,6.8050752,1.8,41.900002
0.42680001,95.800003,35.400002,60208,1.6666666,1.3,49.099998
0.23289999,91.699997,16.700001,52647,0,0,46
0.3416,88.099998,22.700001,61630,12.643678,3.5999999,37.700001
0.44600001,98.599998,15.9,31458,5.8823528,4.6999998,54.700001
0.39840001,96.800003,36.299999,82548,3.9432178,0.5,46.900002
0.35710001,97.699997,48.400002,69226,4.1742287,4.9000001,47.599998
0.39340001,96.900002,44,70313,7.6763487,2.5999999,50.799999
0.38440001,94.900002,38.299999,69028,7.2387624,1.5,46
0.4224,87.400002,16.9,43413,10.130284,1.8,45.400002
0.41049999,97.5,38,65529,6.0240965,1.6,51
0.4698,86.400002,33,55469,1.3651878,2.5,44.400002
0.36719999,90.800003,17.200001,72813,5.6657224,3.5,51.099998
0.50889999,90.199997,43.799999,54036,6.8548388,2.3,51.299999
0.389,96.300003,46.299999,74022,5.5973268,1.1,49.5
0.51010001,93.300003,56.099998,54886,2.8309741,2.3,31.299999
0.4578,86.599998,24.4,43750,8.5858583,5.8000002,44.099998
0.39089999,89.5,33.099998,57885,1.5544041,2.3,55.700001
0.51920003,93.199997,46.299999,43500,7.0640178,2.8,51.200001
0.43430001,82.400002,20.700001,51412,10.076633,4.4000001,35.400002
0.3743,97.199997,36.900002,85064,6.4000001,1.9,41.099998
0.34450001,91.599998,28.6,95833,6.1714911,2.5999999,45.900002
0.38789999,95.5,40.400002,79750,4.1845493,2.5999999,39.099998
0.3971,94.900002,25.799999,50547,9.6463022,1.3,43.400002
0.44800001,88.900002,23,60156,3.8900416,1.7,43.299999
0.1955,84.900002,13.4,74142,9.3247585,0.2,60.099998
0.43990001,87.699997,18.6,48915,5.8071442,1.5,40.599998
0.4104,98.300003,66.199997,123918,3.9176292,1.1,45.599998
0.41209999,98.800003,78.199997,143625,6.6747575,0.2,47.200001
0.35969999,96,30.6,93387,4.5574389,0.89999998,45.700001
0.46149999,86.300003,28.1,57610,5.822423,4.4000001,40.200001
0.41589999,97.400002,55.900002,119177,5.7769651,0.60000002,44.400002
0.41800001,93.599998,35.400002,97775,3.7341669,0.89999998,44.099998
0.428,94.300003,37.700001,90029,5.5275636,2.5,42.900002
0.4533,87.400002,27.799999,67541,4.3048468,4.3000002,42.299999
0.51779997,100,56.900002,98036,0,7.4000001,51.400002
0.38029999,91.800003,23.4,64872,4.9656224,4.0999999,47.200001
0.3989,95.800003,34.900002,84489,3.7002342,2.8,39.200001
0.3423,93.800003,43,100071,4.2998648,1.1,44.700001
0.46329999,91.599998,40.5,84851,3.5938904,8.1999998,44.5
0.40259999,88.5,19.200001,64539,6.0020347,2,41.299999
0.41209999,93.300003,38.299999,74576,5.8552485,1.2,46.799999
0.44299999,93.800003,45.700001,97417,2.413604,2.7,47.599998
0.3642,94.199997,31.1,80260,5.6742439,2.5999999,41.599998
0.41549999,96.599998,56.299999,97074,2.9219532,1,42.700001
0.44310001,87.300003,30.9,64219,5.2178593,6.4000001,44.900002
0.39219999,95.699997,34.900002,93921,8.7527637,1.7,43.099998
0.38280001,92.400002,36.200001,68362,4.1862769,3.4000001,38.900002
0.3908,90.400002,32.5,80234,4.7796865,1.4,42.200001
0.333,96.5,34.599998,94531,2.7338409,0.1,41.700001
0.49160001,96.699997,45.700001,58438,2.7747552,0.2,42.599998
0.40630001,95.800003,52.5,106250,2.4447334,0.89999998,43.5
0.3867,97.199997,54.299999,99674,4.6630917,2.2,41.799999
0.35229999,94.300003,31.9,78348,8.1799593,2.9000001,43.700001
0.41190001,96.199997,51.099998,104508,4.6052632,1.6,41.200001
0.3908,86.800003,36.400002,104630,4.8688126,2.2,38.400002
0.45359999,90.099998,27.799999,64135,4.4488878,4.0999999,45.400002
0.38850001,74.800003,49,,14.728683,0,36.5
0.43509999,91.699997,31.299999,74713,6.1616163,2.2,43.200001
0.3928,89.900002,28.299999,90500,4.4210525,1.3,41.799999
0.40360001,91.699997,33.599998,84432,5.970149,1.7,46.799999
0.43790001,95.800003,55.299999,111875,4.3390636,1,43.700001
0.40369999,94.099998,38.900002,89348,5.6745481,3,44.299999
0.36770001,92.400002,24.700001,73133,5.0131927,2,44.400002
0.41859999,96.300003,49.099998,105283,7.2617946,2.4000001,39.5
0.3344,87.400002,36,74883,5.6300268,0,33.099998
0.4021,93.800003,28.1,68865,3.8129609,3.9000001,39.700001
0.4287,98.900002,61.299999,128006,4.424334,1.7,48.400002
0.32609999,88.099998,29.1,100000,4.0801187,0,48.200001
0.3416,98,45.099998,100962,4.0679388,0.30000001,40.200001
0.42089999,94.099998,56.700001,101229,4.4030867,2.5,41.700001
0.4269,82.099998,15.9,50202,8.3249302,4.5999999,40.099998
0.46329999,95.300003,50.599998,85390,4.4490643,2.5,38.099998
0.221,100,54.099998,,11.920529,0,59.599998
0.39320001,88.599998,22.6,65386,4.6802597,4.5999999,45.099998
0.41409999,95.400002,49.099998,102500,5.4588795,1.1,44.700001
0.42300001,94.099998,46.900002,95800,3.745672,1.7,42
0.37740001,96.900002,52.099998,119115,5.5442867,1.4,42
0.35749999,95.199997,35.900002,94809,7.9589844,1.1,40.299999
0.4377,85.099998,23.700001,52107,9.3156729,3.5,41
0.44170001,91.699997,28.799999,64281,8.2969437,3.3,37.900002
0.41260001,96.400002,65.699997,107604,3.6210608,2.5999999,38
0.4197,87.400002,30.5,73463,4.8250084,2.5999999,39.400002
0.4373,93.599998,32.099998,66317,6.195044,4.9000001,46.700001
0.4429,92,30.799999,66607,4.6123118,6.1999998,38.099998
